state_name,year,industry_code,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay,lq_avg_annual_pay,lq_annual_avg_emplvl
Florida,2010,10,"Total, all industries",585369,6044806,245187792841,40562,0.98,1.02
Georgia,2001,511110,Newspaper publishers,254,13623,408759133,30004,0.88,1.13
Utah,1996,511110,Newspaper publishers,53,2159,42627247,19741,0.82,0.66
Vermont,1992,10,"Total, all industries",20449,204030,4485469911,21984,1.0,1.0
Vermont,1999,10,"Total, all industries",21510,242243,6610530746,27289,0.99,1.0
Virginia,2009,10,"Total, all industries",221916,2862778,136446647673,47662,1.0,0.97
West Virginia,2023,10,"10 Total, all industries",55339,551378,30597911215,55493,0.99,0.94
West Virginia,2015,511110,Newspaper publishers,69,1826,79276012,43423,1.14,1.92
Wisconsin,2001,511110,Newspaper publishers,237,10927,285221241,26102,0.85,1.29
Wisconsin,2014,511110,Newspaper publishers,202,4751,160136206,33709,0.83,1.17
Wyoming,1996,511110,Newspaper publishers,46,1068,21101920,19765,0.88,1.41
Puerto Rico,1993,10,"Total, all industries",41185,597467,8711335787,14580,1.0,0.81
Virgin Islands,2024,10,"10 Total, all industries",3312,24381,1109708786,45515,0.86,0.81
Maine,2012,10,"Total, all industries",46568,486542,18528373431,38082,0.99,0.99
Massachusetts,2016,10,"10 Total, all industries",239501,3065883,208730737404,68082,1.01,1.03
Massachusetts,2001,511110,Newspaper publishers,202,11443,502318921,43899,1.01,1.12
Michigan,2019,10,"10 Total, all industries",253967,3790764,207756940057,54806,1.0,1.02
Mississippi,2022,513110,NAICS 513110 Newspaper publishers,101,774,26037620,33644,0.69,0.97
Missouri,2000,511110,Newspaper publishers,310,9069,262063514,28896,0.94,1.06
Missouri,2015,511110,Newspaper publishers,246,4127,148053817,35874,0.86,1.11
Montana,2002,10,"Total, all industries",39852,310388,7701702401,24813,0.96,0.95
Nebraska,1990,10,"Total, all industries",39799,574151,10369238692,18060,0.99,0.97
Nebraska,2024,10,"10 Total, all industries",73508,852765,52026138549,61009,1.0,0.98
Arizona,2024,10,"10 Total, all industries",222072,2810852,197382966552,70222,0.99,1.02
California,2018,511110,NAICS 511110 Newspaper publishers,500,9986,614512928,61539,0.97,0.57
Colorado,2024,513110,NAICS 513110 Newspaper publishers,140,1471,100490359,68295,0.8,0.88
Connecticut,1992,10,"Total, all industries",99116,1304037,42574241102,32648,1.01,1.04
Florida,1996,10,"Total, all industries",394621,5256165,132122072108,25137,0.99,1.01
Florida,2012,511110,Newspaper publishers,343,10944,500559393,45740,1.15,0.87
Alabama,1997,511110,Newspaper publishers,134,4526,118502245,26185,1.0,0.72
Alaska,1997,511110,Newspaper publishers,38,1122,29071107,25912,0.79,1.24
Arizona,2023,10,"10 Total, all industries",217884,2765676,184998927421,66891,0.99,1.02
Arkansas,2005,511110,Newspaper publishers,125,3671,95588024,26036,0.86,1.14
California,1999,10,"Total, all industries",1024252,12243452,457326985580,37353,1.0,1.0
California,2019,10,"10 Total, all industries",1553101,15127578,1076084635582,71134,1.0,1.01
California,2020,511110,NAICS 511110 Newspaper publishers,480,8325,563070504,67637,0.92,0.62
Colorado,2015,511110,Newspaper publishers,140,3077,151110794,49107,0.99,0.9
Connecticut,1995,10,"Total, all industries",100177,1341553,46947431181,34995,1.01,1.04
Delaware,2024,10,"10 Total, all industries",44596,409512,29725148948,72587,1.0,1.0
Delaware,1998,511110,Newspaper publishers,14,1297,37537021,28951,0.86,0.98
Florida,1995,10,"Total, all industries",378917,5092197,123084023604,24171,0.99,1.01
Georgia,1999,10,"Total, all industries",215552,3226873,105720764465,32763,1.01,1.0
Georgia,2011,10,"Total, all industries",256403,3135735,142928121741,45580,1.02,0.99
Massachusetts,2015,511110,Newspaper publishers,159,5577,300550342,53893,0.88,1.19
Minnesota,2022,10,"10 Total, all industries",193074,2483988,174967291765,70438,1.01,1.01
Minnesota,2022,513110,NAICS 513110 Newspaper publishers,271,2906,163326343,56211,0.78,1.47
Mississippi,2020,511110,NAICS 511110 Newspaper publishers,103,918,27301985,29741,0.74,1.03
Missouri,1999,10,"Total, all industries",150430,2299844,67695108741,29435,1.0,1.01
Missouri,2007,511110,Newspaper publishers,305,7378,260119039,35254,0.96,1.05
Missouri,2023,513110,NAICS 513110 Newspaper publishers,220,1892,84654611,44751,0.7,1.05
Nebraska,2001,10,"Total, all industries",49230,735492,20619057796,28034,0.99,0.99
New Mexico,2005,511110,Newspaper publishers,62,2196,65722775,29924,0.95,1.0
New Mexico,2014,511110,Newspaper publishers,49,1270,41878285,32984,0.85,1.08
New York,2004,10,"Total, all industries",540823,6854296,348157089018,50794,1.02,0.99
North Dakota,1994,10,"Total, all industries",20155,221160,4276229777,19336,0.99,0.96
North Dakota,2006,10,"Total, all industries",22988,271603,8427809761,31030,0.99,0.96
Oklahoma,1998,10,"Total, all industries",81925,1134172,28249442575,24908,1.0,0.95
Oklahoma,2002,10,"Total, all industries",85106,1145071,32245629663,28160,0.99,0.95
Oklahoma,1996,511110,Newspaper publishers,175,4557,94781503,20801,0.91,0.97
Oklahoma,2002,511110,Newspaper publishers,172,4240,112835522,26613,0.95,0.98
Oregon,1991,511110,Newspaper publishers,116,4479,97439270,21756,1.0,0.89
Pennsylvania,1995,10,"Total, all industries",267433,4419918,120992003490,27374,0.99,1.03
Pennsylvania,1997,10,"Total, all industries",280349,4578788,136062089947,29716,0.99,1.03
Wisconsin,2009,511110,Newspaper publishers,212,7063,216662310,30678,0.83,1.24
Puerto Rico,2006,10,"Total, all industries",58572,744527,16539548431,22215,0.94,0.85
Virgin Islands,2020,511110,NAICS 511110 Newspaper publishers,3,0,0,0,0.0,0.0
Georgia,1991,511110,Newspaper publishers,229,12395,273748929,22086,0.97,1.06
Georgia,1993,511110,Newspaper publishers,232,12426,295552392,23784,1.0,1.02
Illinois,1996,10,"Total, all industries",297755,4787519,149464344548,31220,1.01,1.02
Illinois,2003,10,"Total, all industries",316037,4887063,198286927494,40574,1.01,1.02
Illinois,2000,511110,Newspaper publishers,416,18525,662971740,35789,0.96,0.97
Indiana,2001,10,"Total, all industries",146123,2485641,78940643418,31759,1.0,1.03
Indiana,2018,10,"10 Total, all industries",162027,2659130,127283367737,47867,1.01,1.02
Kansas,1998,511110,Newspaper publishers,203,4465,95261644,21335,0.8,1.03
Kansas,2024,513110,NAICS 513110 Newspaper publishers,130,824,31886317,38681,0.6,1.0
Kentucky,1992,10,"Total, all industries",81373,1196785,25694170702,21469,1.0,0.99
Kentucky,2018,511110,NAICS 511110 Newspaper publishers,152,2137,76717922,35901,0.84,1.13
Maryland,1995,511110,Newspaper publishers,84,5485,174259016,31772,1.11,0.7
Massachusetts,1994,10,"Total, all industries",158180,2469957,75986423445,30764,1.01,1.04
Massachusetts,2013,511110,Newspaper publishers,170,6107,310133481,50782,0.89,1.16
Michigan,2008,10,"Total, all industries",251347,3464455,151857559935,43833,0.99,1.01
Michigan,2016,10,"10 Total, all industries",233547,3686126,186924317740,50710,1.0,1.02
Michigan,2010,511110,Newspaper publishers,231,7591,302539447,39855,0.97,1.02
Michigan,2013,511110,Newspaper publishers,217,6257,259604365,41491,0.95,0.98
Montana,2018,511110,NAICS 511110 Newspaper publishers,72,1012,35060122,34662,0.87,2.17
New Hampshire,1993,10,"Total, all industries",34747,421946,10457224992,24783,1.01,1.03
New Hampshire,2013,10,"Total, all industries",46949,534080,26403978054,49438,1.01,1.02
New Hampshire,2016,10,"10 Total, all industries",48865,562809,30514165374,54218,1.01,1.02
Utah,2008,511110,Newspaper publishers,56,2344,83670448,35701,0.99,0.8
Utah,2020,511110,NAICS 511110 Newspaper publishers,42,729,39071864,53572,1.05,0.6
Vermont,2002,10,"Total, all industries",22105,246527,7547033837,30613,0.99,0.99
Vermont,2019,10,"10 Total, all industries",24523,257280,12457597749,48420,0.98,0.97
Virginia,1997,511110,Newspaper publishers,203,10685,363480231,34019,1.16,0.98
Washington,2001,511110,Newspaper publishers,202,9141,289336747,31653,0.87,1.09
Wisconsin,1996,10,"Total, all industries",130182,2182410,55747390419,25544,0.99,1.03
Wyoming,2003,511110,Newspaper publishers,47,1108,22491517,20292,0.68,1.53
Wyoming,2016,511110,NAICS 511110 Newspaper publishers,38,804,22617452,28134,0.68,2.38
Puerto Rico,1991,511110,Newspaper publishers,12,2301,46684045,20291,1.52,0.66
Puerto Rico,2004,511110,Newspaper publishers,14,3070,102901316,33520,1.55,1.01
Nebraska,2003,511110,Newspaper publishers,144,3397,84838863,24975,0.83,1.3
Nevada,1990,10,"Total, all industries",28712,541038,11739308617,21698,0.98,1.05
New Hampshire,2024,10,"10 Total, all industries",64400,604247,47755034393,79032,1.02,1.03
New Hampshire,1998,511110,Newspaper publishers,75,2290,60933661,26605,0.87,1.18
North Carolina,2020,511110,NAICS 511110 Newspaper publishers,182,2427,96870942,39919,0.77,0.69
North Dakota,2020,10,"10 Total, all industries",30337,326357,18299565341,56072,1.01,0.97
North Dakota,1995,511110,Newspaper publishers,77,1591,28876378,18150,0.91,1.53
North Dakota,2013,511110,Newspaper publishers,74,1163,39677251,34104,0.77,1.71
Washington,2024,10,"10 Total, all industries",232219,3006514,291496978266,96955,1.02,0.98
Alaska,2017,511110,NAICS 511110 Newspaper publishers,23,461,16730762,36299,0.73,1.28
Arizona,2001,511110,Newspaper publishers,108,6528,230721476,35341,1.09,0.93
Arkansas,2000,10,"Total, all industries",67765,951930,24771753718,26023,0.99,0.99
Arkansas,2021,10,"10 Total, all industries",91571,1012377,52340509379,51701,1.0,0.99
Arkansas,1992,511110,Newspaper publishers,132,3490,55422181,15880,0.81,0.95
Connecticut,2009,10,"Total, all industries",108332,1368972,79915896570,58377,1.02,1.02
Florida,1991,10,"Total, all industries",340605,4451300,95434175196,21440,0.99,1.01
Florida,2009,10,"Total, all industries",588289,6117043,243800893702,39856,0.98,1.02
Georgia,1997,10,"Total, all industries",196945,2991007,87672722350,29312,1.01,0.99
Washington,2012,10,"Total, all industries",231293,2378502,123122560287,51765,1.0,0.98
West Virginia,2004,10,"Total, all industries",44166,550559,16283558579,29576,0.98,0.96
Wisconsin,1999,511110,Newspaper publishers,227,11302,275060709,24338,0.83,1.28
Puerto Rico,2012,10,"Total, all industries",46411,682921,17206427698,25195,0.94,0.87
South Carolina,1997,10,"Total, all industries",94878,1411174,34867591597,24708,0.99,0.98
South Dakota,2003,511110,Newspaper publishers,102,1561,33703385,21596,0.8,1.43
Tennessee,2000,511110,Newspaper publishers,182,8499,218337550,25691,0.85,0.99
Texas,2000,511110,Newspaper publishers,651,21778,744340160,34179,1.0,0.73
Utah,2012,511110,Newspaper publishers,44,1683,61405189,36482,0.96,0.81
Utah,2019,511110,NAICS 511110 Newspaper publishers,44,915,44186627,48305,1.01,0.68
Virginia,1990,10,"Total, all industries",141836,2279142,50065201878,21967,0.98,0.96
Virginia,2008,511110,Newspaper publishers,221,8896,385224117,43301,0.96,1.01
Virginia,2016,511110,NAICS 511110 Newspaper publishers,186,4891,246667255,50437,1.0,1.04
Washington,2003,10,"Total, all industries",223560,2157934,83454302415,38673,1.0,0.97
Washington,2006,10,"Total, all industries",208874,2345531,99704556121,42508,0.99,0.98
Washington,2004,511110,Newspaper publishers,182,7636,271508182,35559,0.93,0.98
Washington,2016,511110,NAICS 511110 Newspaper publishers,140,3677,166861772,45381,0.83,0.92
Georgia,2017,10,"10 Total, all industries",265558,3699460,195641784740,52884,1.01,1.0
Georgia,2018,10,"10 Total, all industries",270541,3777824,204738291428,54195,1.01,1.0
Hawaii,2011,511110,Newspaper publishers,21,882,45427348,51495,1.33,0.8
Illinois,2002,511110,Newspaper publishers,404,16835,630515981,37452,0.97,0.97
Iowa,1996,10,"Total, all industries",80724,1129826,26200092870,23190,0.99,1.0
Iowa,2018,511110,NAICS 511110 Newspaper publishers,226,3136,112570635,35892,0.82,2.02
Iowa,2022,513110,NAICS 513110 Newspaper publishers,210,1982,79021461,39870,0.67,1.86
Kentucky,2000,10,"Total, all industries",102020,1474786,42485369478,28808,1.0,0.99
Kentucky,1990,511110,Newspaper publishers,163,5220,102456992,19627,0.99,0.88
Kentucky,1997,511110,Newspaper publishers,180,5125,124933702,24378,0.96,0.89
Kentucky,2000,511110,Newspaper publishers,194,5158,145877620,28281,1.0,0.91
Kentucky,2021,511110,NAICS 511110 Newspaper publishers,159,1349,51776609,38393,0.77,1.02
Louisiana,2004,10,"Total, all industries",110389,1500416,47596758449,31722,1.0,0.96
Georgia,2021,511110,NAICS 511110 Newspaper publishers,201,2992,373853210,124944,2.13,0.94
Idaho,1992,10,"Total, all industries",30653,333764,6845631232,20510,1.0,0.96
Idaho,1993,10,"Total, all industries",32224,351696,7383890177,20995,1.0,0.97
Idaho,2001,10,"Total, all industries",43650,466581,12820790245,27478,0.99,0.97
Idaho,2021,10,"10 Total, all industries",75772,670723,34304376661,51145,1.0,0.99
Illinois,1991,10,"Total, all industries",254906,4383837,114724434523,26170,1.01,1.03
Illinois,1999,511110,Newspaper publishers,429,18612,670742454,36039,1.0,0.97
Iowa,2004,10,"Total, all industries",85893,1195269,37861506510,31676,0.99,1.0
Iowa,2023,513110,NAICS 513110 Newspaper publishers,202,1827,74392834,40726,0.66,1.88
Kentucky,2023,10,"10 Total, all industries",146057,1680021,98080246091,58380,1.0,1.0
Louisiana,2002,511110,Newspaper publishers,120,4385,140601645,32062,1.09,0.79
Utah,2024,10,"10 Total, all industries",135428,1451538,97067725045,66872,1.0,0.99
Utah,1991,511110,Newspaper publishers,56,1795,29870980,16644,0.82,0.62
Virginia,2006,511110,Newspaper publishers,212,9560,377198863,39455,0.93,0.98
Virginia,2020,511110,NAICS 511110 Newspaper publishers,158,3534,272654073,77155,1.28,1.16
Washington,1992,10,"Total, all industries",145625,1798406,45252320483,25162,0.99,0.98
Washington,2011,10,"Total, all industries",224445,2325372,115867238009,49827,1.0,0.98
Wisconsin,2016,511110,NAICS 511110 Newspaper publishers,204,4229,167075890,39506,0.93,1.2
Wisconsin,2020,511110,NAICS 511110 Newspaper publishers,150,2482,95959484,38669,0.78,1.12
Vermont,1994,10,"Total, all industries",20378,216237,4870661703,22525,1.0,1.0
Vermont,2007,10,"Total, all industries",23268,251475,9139146031,36342,0.99,0.98
Vermont,2016,511110,NAICS 511110 Newspaper publishers,45,581,20434526,35171,0.85,1.52
Washington,2002,511110,Newspaper publishers,200,8849,289962730,32767,0.88,1.11
West Virginia,2017,10,"10 Total, all industries",46332,547549,23439985424,42809,0.99,0.94
Puerto Rico,2018,511110,NAICS 511110 Newspaper publishers,12,1459,46311035,31749,1.2,1.69
Puerto Rico,2021,511110,NAICS 511110 Newspaper publishers,12,1405,40929973,29142,1.01,2.25
Oklahoma,2015,10,"Total, all industries",102970,1270090,56523759223,44504,1.01,0.94
Oklahoma,1993,511110,Newspaper publishers,183,4640,88199967,19008,0.9,0.96
Pennsylvania,1993,511110,Newspaper publishers,324,23158,602416646,26013,1.04,1.17
Pennsylvania,2017,511110,NAICS 511110 Newspaper publishers,271,8286,361828060,43666,0.87,1.28
Rhode Island,2008,10,"Total, all industries",35082,407963,16765258103,41095,0.96,1.03
Rhode Island,2009,10,"Total, all industries",34629,388184,16037758238,41315,0.96,1.04
Rhode Island,2012,10,"Total, all industries",34526,392112,17501067395,44633,0.96,1.04
Rhode Island,2024,10,"10 Total, all industries",48240,433419,28821712887,66498,0.97,1.02
South Carolina,2023,10,"10 Total, all industries",173406,1887022,108861743649,57690,0.99,0.98
South Carolina,2024,513110,NAICS 513110 Newspaper publishers,112,1011,59908924,59252,0.92,0.77
Vermont,1990,10,"Total, all industries",20184,210468,4279775353,20335,1.0,1.0
Vermont,2009,10,"Total, all industries",22994,239776,9102508721,37963,0.99,0.99
Vermont,2023,10,"10 Total, all industries",29935,254464,15637207034,61451,0.99,0.97
Vermont,2010,511110,Newspaper publishers,47,903,26671878,29545,0.81,1.56
Illinois,2023,10,"10 Total, all industries",390497,5235077,395907990957,75626,1.01,1.02
Indiana,1996,10,"Total, all industries",142208,2378393,62898895120,26446,1.01,1.03
Iowa,1993,10,"Total, all industries",79691,1031341,21588858925,20933,0.99,1.0
Iowa,2009,10,"Total, all industries",88263,1208333,43873238786,36309,0.99,1.01
Iowa,2007,511110,Newspaper publishers,258,5589,160597155,28736,0.84,1.46
Kansas,2007,10,"Total, all industries",79652,1111791,41779896711,37579,1.02,0.97
Kentucky,2014,10,"Total, all industries",115361,1508025,63009498189,41783,1.0,0.99
Louisiana,1994,511110,Newspaper publishers,118,4602,112182513,24378,1.07,0.73
Maryland,1996,10,"Total, all industries",134553,1762988,51168883669,29024,0.97,0.97
Maryland,2009,10,"Total, all industries",160752,1983510,95833985353,48315,0.96,0.97
Mississippi,2014,10,"Total, all industries",67306,865964,31608397457,36501,0.98,0.93
Mississippi,2016,511110,NAICS 511110 Newspaper publishers,114,1520,43639140,28702,0.82,1.09
Nebraska,2002,10,"Total, all industries",50818,723673,21025491833,29054,0.99,0.99
Nevada,1992,10,"Total, all industries",33156,551342,13202665756,23946,0.98,1.04
Nevada,1999,10,"Total, all industries",47552,862601,26220613511,30397,0.98,1.04
Nevada,1997,511110,Newspaper publishers,52,2031,55438124,27294,0.96,0.66
Nevada,2018,511110,NAICS 511110 Newspaper publishers,34,700,37828553,54034,1.17,0.51
New Jersey,2016,10,"10 Total, all industries",257341,3382178,211142426678,62428,1.0,1.01
New Mexico,2011,10,"Total, all industries",51537,596921,23085217144,38674,0.97,0.91
New Mexico,2016,10,"10 Total, all industries",54105,627472,25765587016,41063,0.97,0.91
North Carolina,2013,10,"Total, all industries",248353,3291488,144059441951,43767,1.0,0.98
New York,2004,511110,Newspaper publishers,463,25640,1363703098,53187,1.09,1.07
Oregon,2023,10,"10 Total, all industries",186144,1702772,114437899531,67207,0.98,1.0
Pennsylvania,1996,10,"Total, all industries",270650,4473319,127116785366,28417,0.99,1.03
Pennsylvania,2002,10,"Total, all industries",309276,4791355,169026135836,35277,0.99,1.04
Pennsylvania,1995,511110,Newspaper publishers,338,23286,622204766,26721,0.98,1.24
Pennsylvania,2007,511110,Newspaper publishers,330,18462,723529157,39191,0.95,1.27
Rhode Island,2018,10,"10 Total, all industries",37304,421767,21809169703,51709,0.96,1.03
Rhode Island,2019,511110,NAICS 511110 Newspaper publishers,24,515,22393577,43483,0.84,1.19
South Carolina,1992,10,"Total, all industries",81124,1216249,25531456697,20992,0.99,0.98
South Carolina,1998,511110,Newspaper publishers,105,4856,124353862,25610,0.99,0.82
South Dakota,1990,511110,Newspaper publishers,94,1421,19284276,13575,0.83,1.23
Alabama,1996,10,"Total, all industries",98836,1458895,35932648421,24630,0.99,0.97
Alabama,2015,511110,Newspaper publishers,135,2416,92933386,38471,0.95,0.94
Alaska,2015,10,"Total, all industries",20102,255274,13791354609,54026,0.99,0.91
Arizona,1991,511110,Newspaper publishers,105,6143,148079864,24106,1.11,1.01
Arkansas,2015,10,"Total, all industries",83673,978732,39756863610,40621,0.99,0.98
Arkansas,2016,10,"10 Total, all industries",84197,993989,41022336917,41270,0.99,0.98
California,2002,511110,Newspaper publishers,725,32664,1326349877,40606,1.0,0.73
Colorado,1993,511110,Newspaper publishers,159,6428,164575212,25603,1.04,0.98
Colorado,2020,511110,NAICS 511110 Newspaper publishers,127,2053,105903141,51593,0.83,0.97
Connecticut,2015,10,"Total, all industries",112188,1428395,94686799846,66289,1.01,1.01
Delaware,1997,511110,Newspaper publishers,14,1276,35423725,27763,0.87,0.97
Georgia,2002,10,"Total, all industries",226129,3188907,114822735486,36007,1.01,1.0
Georgia,2009,10,"Total, all industries",261097,3119461,134688590588,43177,1.02,0.99
Georgia,2004,511110,Newspaper publishers,247,13384,448293315,33494,0.91,1.2
Georgia,2006,511110,Newspaper publishers,252,13259,481029844,36279,0.94,1.22
Georgia,2007,511110,Newspaper publishers,262,12979,603645615,46509,1.15,1.24
Georgia,2022,513110,NAICS 513110 Newspaper publishers,213,2982,364901406,122361,1.8,0.91
Hawaii,2005,10,"Total, all industries",34512,487265,16841714879,34564,0.95,0.96
Hawaii,2016,511110,NAICS 511110 Newspaper publishers,15,726,39702626,54712,1.23,0.9
Idaho,2002,511110,Newspaper publishers,68,1971,48175523,24441,0.89,1.14
Idaho,2010,511110,Newspaper publishers,65,1466,47667963,32514,1.01,1.22
West Virginia,1994,511110,Newspaper publishers,86,2983,50467803,16921,0.75,1.23
West Virginia,2006,511110,Newspaper publishers,81,2539,71292594,28083,0.89,1.34
Wisconsin,2016,10,"10 Total, all industries",161476,2447832,112484667658,45953,1.0,1.02
Illinois,2002,10,"Total, all industries",313145,4952156,196793208250,39739,1.01,1.02
Illinois,2017,10,"10 Total, all industries",353360,5153355,301009923747,58410,1.01,1.02
Indiana,2024,513110,NAICS 513110 Newspaper publishers,150,1819,84333464,46363,0.7,0.99
Iowa,1998,511110,Newspaper publishers,311,6627,139029033,20979,0.81,1.39
Louisiana,2014,10,"Total, all industries",118652,1611244,73781349511,45792,1.01,0.99
Louisiana,2016,511110,NAICS 511110 Newspaper publishers,107,1908,86089353,45130,1.07,0.8
Maryland,2022,10,"10 Total, all industries",185715,2156462,153474536350,71170,0.96,0.95
Nevada,2009,10,"Total, all industries",74238,985611,40532036806,41124,0.97,1.04
Nevada,1993,511110,Newspaper publishers,48,1800,40983712,22775,0.93,0.68
New Hampshire,2011,10,"Total, all industries",45657,520327,24789346501,47642,1.01,1.03
New Jersey,1995,511110,Newspaper publishers,168,16168,558393796,34538,0.72,1.24
New Mexico,1993,10,"Total, all industries",39295,467713,9717927025,20778,0.97,0.93
New Mexico,1992,511110,Newspaper publishers,53,2059,39976450,19418,0.94,0.89
New York,2013,10,"Total, all industries",599719,7321113,470031906465,64202,1.02,1.0
New York,1998,511110,Newspaper publishers,469,28850,1362700634,47233,1.18,1.05
New York,2020,511110,NAICS 511110 Newspaper publishers,360,11315,1144311072,101130,1.31,1.62
North Carolina,2006,10,"Total, all industries",235866,3305395,123200644378,37273,1.0,0.99
North Dakota,1993,10,"Total, all industries",19895,211890,3985228037,18808,0.99,0.96
North Dakota,2003,10,"Total, all industries",21944,251672,6844739031,27197,0.99,0.96
North Dakota,2016,10,"10 Total, all industries",30011,345688,17045821764,49310,1.01,0.98
Ohio,1998,511110,Newspaper publishers,333,17564,544675027,31010,1.03,0.97
Alabama,2017,511110,NAICS 511110 Newspaper publishers,131,2054,81595600,39727,0.93,0.95
Alaska,1999,10,"Total, all industries",17335,200965,6499552458,32342,0.95,0.88
Alaska,2010,10,"Total, all industries",19207,237454,11195898422,47150,0.98,0.9
Arkansas,2022,10,"10 Total, all industries",94817,1056644,57242157555,54174,1.0,0.99
Arkansas,2008,511110,Newspaper publishers,116,3343,93454857,27955,0.84,1.19
California,2022,513110,NAICS 513110 Newspaper publishers,521,7578,631006671,83269,0.95,0.61
Colorado,2021,10,"10 Total, all industries",226013,2278967,163032623871,71538,1.01,0.99
Delaware,2008,10,"Total, all industries",29610,363327,17206252883,47358,1.0,1.02
Florida,2009,511110,Newspaper publishers,367,13991,639290832,45694,1.18,0.91
Florida,2023,513110,NAICS 513110 Newspaper publishers,374,5767,436179920,75634,1.1,0.95
Hawaii,2022,513110,NAICS 513110 Newspaper publishers,18,492,30349127,61696,0.97,1.14
Idaho,2014,511110,Newspaper publishers,66,1289,45325991,35177,1.0,1.35
